store_name,mall,owner_group,unit,level,scope_of_business,raw_category,subcategory,is_fnb,is_halal,description,website,source
DELTA DENTAL SURGEONS,Aperia Mall,CapitaLand,03-05,03,Services,Services,,False,False,General Dentistry,,capitaland-api
Bodyworks Chiropractic,Aperia Mall,CapitaLand,03-06,03,Services,Services,,False,False,"We provide quality Chiropractic care to patients in the Singapore area. Whether you're searching for an effective pain relief or a way to boost whole body wellness, Bodyworks Chiropractic is here for you.",,capitaland-api
Time Enterprise TCM,Aperia Mall,CapitaLand,03-16,03,Services,Services,,False,False,"Time Enterprise was established in 1994 by Chinese Physician Lim Sor San and her husband. Initially located in People’s Park Centre, the company relocated to Rochor Centre in 1998. During its early days, Time Enterprise provided TCM consultation as well as sold Chinese herbs. Since the establishment of the clinic, Dr Lim tirelessly sought to improve her skills and understanding of Chinese medicine, and was awarded M.M.S (Chinese Medicine) in 2009 and Ph.D.M.S (Chinese Medicine) in 2012 by Nanjing TCM University in China. To provide a better experience for our customers, Time Enterprise converted to a TCM consultation-only clinic in 2010, and has been providing TCM consultation, acupuncture, and tui na services. As we move to Aperia, the team at Time Enterprise strive to provide an enhanced TCM experience for everyone. We look forward to seeing you in December!",,capitaland-api
POSB ATM,Aperia Mall,CapitaLand,l1---lift-lobby-a,L1,Services,Services,ATMS & Banks,False,False,"POSB ATM provides banking services after hours to customers. These include passbook printing, cash deposit and cash withdrawal.",,capitaland-api
Nutrilite Health & Wellbeing,Aperia Mall,CapitaLand,02-01,02,Beauty & Wellness,Beauty & Wellness,,False,False,Nutrilite Health & Wellbeing,,capitaland-api
KOI THE,Aperia Mall,CapitaLand,01-27,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"The only Milk Tea that’s so good you can actually tell them apart from the rest, KOI Café serves milk tea with a variety of standout toppings and exclusive flavours. Besides the bubble tea, try the Ovaltine Macchiato which exudes a malty aroma that balances the intense rich velvetiness of their Macchiato roast.",,capitaland-api
Starbucks,Aperia Mall,CapitaLand,01-26,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Starbucks Coffee is the premier roaster & retailer of the highest quality arabica coffee in the world. Through our unwavering commitment to excellence & our guiding principles, we bring the unique Starbucks Experience to life for every customer through every cup.",,capitaland-api
Hinomi,Aperia Mall,CapitaLand,03-01,03,"Department, Value & Outlet",Outlet,,False,False,"Hinomi, a pioneering brand in ergonomics, offers personalized ergonomic solutions for individuals and businesses.",,capitaland-api
CTDI,Aperia Mall,CapitaLand,03-03-04,"03, 04",Services,Services,,False,False,Google Pixel Authorized Service Center,,capitaland-api
Firstpointe,Aperia Mall,CapitaLand,"02-02,-03","02, 03",Kids & Children,Children,,False,False,"Firstpointe is a dance studio that focuses on empowering students to achieve a high level of dance proficienct and confidence while making dance fun, educational and enjoyable. Firstpointe specialises in Ballet RAD programs with Registered RAD Teachers. It is a place where all ages can grow and start their dance journey.",,capitaland-api
BKK Forex,Aperia Mall,CapitaLand,01-06,01,Services,Services,,False,False,BKK Forex,,capitaland-api
Watsons,Aperia Mall,CapitaLand,01-07,01,Beauty & Wellness,Beauty & Wellness,Health & Personal Care,False,False,"Watsons, a Health & Personal Care chain, carries a variety of body wellness and beauty products to make looking good and feeling good convenient to all its customers. Now includes services such as medication dispensing.",,capitaland-api
Kaeden Cafe,Aperia Mall,CapitaLand,01-25,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,Kaeden Cafe,,capitaland-api
luckin coffee,Aperia Mall,CapitaLand,01-34,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,luckin coffee,,capitaland-api
Tim Ho Wan,Aperia Mall,CapitaLand,01-01-02-03,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Chinese Dim Sum,,capitaland-api
Kopi & Tarts,Aperia Mall,CapitaLand,01-41,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"“Kopi &amp; Tarts” is a new local Halal coffee concept by Mayson Bakery, where we marry the love of coffee with our freshly baked tarts and pastries. We aim to delight the palate with both sweet and savoury offerings, allowing family, friends and loved ones to take a break and enjoy the simple pleasures in life. Apart from our Kopi and Tarts, we also offer our signature pastry line-up, a concise range of muffins, cakes &amp; toasts.",,capitaland-api
Wonder Juice,Aperia Mall,CapitaLand,01-31,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"Wonder Juice believes in using the freshest ingredients for the fruit cuts, cold pressed juices and avocado series milkshakes. Wonder Juice does not believe in adding sugar and water to its juice. This is to ensure the utmost quality and attract the recurrence of customers.",,capitaland-api
Pohang Seafood & Butchery,Aperia Mall,CapitaLand,02-10,02,Food & Beverage,Food & Beverage,Seafood,True,False,Pohang Seafood & Butchery,,capitaland-api
PINWEI MALA 品味麻辣,Aperia Mall,CapitaLand,01-38,01,Food & Beverage,Food & Beverage,Restaurant,True,False,PINWEI MALA 品味麻辣,,capitaland-api
TTEOK Sang,Aperia Mall,CapitaLand,01-37,01,Food & Beverage,Food & Beverage,Restaurant,True,False,TTEOK Sang,,capitaland-api
Zheng Neng Zhu La Mian,Aperia Mall,CapitaLand,01-28A-32,"01, 32",Food & Beverage,Food & Beverage,Restaurant,True,False,Taste of authentic handmade chewy noodles freshly cut from hand-kneaded dough without using any artificial preservatives or flavouring.,,capitaland-api
Thai Supermarket,Aperia Mall,CapitaLand,"01-09-to-15,-17-to-19","01, 17 TO 19",Supermarket & Convenience,Supermarket & Specialty Mart,,False,False,Thai Supermarket,,capitaland-api
kcuts,Aperia Mall,CapitaLand,01-21,01,Beauty & Wellness,Beauty & Wellness,Beauty Treatment & Spa,False,False,"Looking for Korean hairdressers in Singapore? At Kcuts, our professionally trained Korean stylists provide quality haircuts, all within 10 minutes!",,capitaland-api
Shine Korea,Aperia Mall,CapitaLand,01-04,01,Supermarket & Convenience,Supermarket & Specialty Mart,,False,False,Your go-to-place for authentic Korean products at the best price!,,capitaland-api
Nana Original Thai Food,Aperia Mall,CapitaLand,01-53a---k11,"01, K11",Food & Beverage,Food & Beverage,Restaurant,True,False,Nana Original Thai Food,,capitaland-api
Blanco Court Beef Noodle,Aperia Mall,CapitaLand,01-39,01,Food & Beverage,Food & Beverage,Restaurant,True,False,"Blanco Court Beef Noodles was founded back in 1979, offering traditional Hainanese style beef noodles. The same authentic recipe has been preserved and passed down since then. The secret behind the rich and bold taste lies in the herbal soup stock, which is also the key ingredient used for the gravy that comes with the dry version. Chef’s recommendation: Superior Beef Noodles, the ultimate bowl that comes with premium cut beef shank, tender beef slices, gourmet beef balls, soft, melt-in-your mouth beef tendons and springy beef tripe.",,capitaland-api
The Pack Protein & Salad bar,Aperia Mall,CapitaLand,01-30,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,"Fitness enthusiasts & healthy eaters alike can pop by The Pack Protein & Salad Bar to get their fix of a health bowl. Offering a range of greeneries, fruits, nuts & even healthy sweet treats, each serving packs a punch of health and tastiness all in one!",,capitaland-api
Folks Collective & Slurp Noodle Bar,Aperia Mall,CapitaLand,"01-09-to-15"",""-17-to-19","01, 17 TO 19",Food & Beverage,Food & Beverage,Restaurant,True,False,Folks Collective & Slurp Noodle Bar,,capitaland-api
Chef Foong Restaurant,Aperia Mall,CapitaLand,02-09,02,Food & Beverage,Food & Beverage,Restaurant,True,False,Chinese Cuisine,,capitaland-api
Quantum Medical,Aperia Mall,CapitaLand,02-05-06,"02, 06",Services,Services,,False,False,Magnetic Resonance Imaging (MRI). Ultrasound. X-ray. Health Screening.,,capitaland-api
IM-EM Thai Kitchen,Aperia Mall,CapitaLand,01-40,01,Food & Beverage,Food & Beverage,Restaurant,True,False,IM-EM Thai Kitchen,,capitaland-api
7-Eleven,Aperia Mall,CapitaLand,01-53b,01,Supermarket & Convenience,Convenience Store,,False,False,"Established in Singapore in 1983, 7-Eleven has since expanded to over 400 stores island-wide to become the leading 24-hour convenience chain store. Think 7-Eleven and what comes to mind are the refreshing Slurpee and 7Cafe as well as a wide range of quality ready-to-eat meals and sandwiches under 7-Select.",,capitaland-api
Hao Lai Ke,Aperia Mall,CapitaLand,01-39,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Hao Lai Ke,,capitaland-api
Artisan Jewellery,Aperia Mall,CapitaLand,01-16,01,Fashion & Accessories,Fashion,Jewellery & Watches,False,False,Artisan Jewellery,,capitaland-api
FM Food Master,Aperia Mall,CapitaLand,02-16,02,Food & Beverage,Food & Beverage,,True,False,Food Court,,capitaland-api
In Trim Hair,Aperia Mall,CapitaLand,02-13,02,Beauty & Wellness,Beauty & Wellness,,False,False,"A Next Gen Hair Salon, Singapore's One & Only Pop Art Theme Hair Salon.",,capitaland-api
Shihlin Taiwan Street Snacks,Aperia Mall,CapitaLand,01-30A,01,Food & Beverage,Food & Beverage,Fast Food,True,False,"Shihlin Taiwan Street Snacks is a food kiosk selling light bites. Featuring popular snacks from Taiwan's night markets such as XXL Crispy Chicken, Crispy Floss Egg Crepe, Handmade Oyster Mee Sua & Seafood Tempura, save a flight & take a bite!",,capitaland-api
Cold Storage,Aperia Mall,CapitaLand,01-47-51,01,Supermarket & Convenience,Supermarket & Specialty Mart,,False,False,"Cold Storage Supermarket goes beyond freshness to bring you the best in the world. With specialised areas like dedicated baby sections, make-your-own-pizza counters, in-store bakeries & self checkout counters, experience true convenience.",,capitaland-api
Saizeriya,Aperia Mall,CapitaLand,02-14-15,"02, 15",Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"Affordable, casual Italian dining with ingredients imported from countries such as Italy and Australia.",,capitaland-api
Boulder+,Aperia Mall,CapitaLand,03-17,03,Sports & Fitness,Sports,,False,False,Four friends one vision of bouldering passion in a sunlit space of Walltopian design an arch a prowl steepness redefined to gentle planes where the power of balance lies.,,capitaland-api
McDonald's,Aperia Mall,CapitaLand,01-24,01,Food & Beverage,Food & Beverage,Breakfast,True,False,"McDonald’s brings enjoyment to customers through our brand promise, “I’m lovin’ it”. With our restaurant environment, menu and innovations, we serve quality food at great value and fun for families and friends to bond over a meal at McDonald’s.",,capitaland-api
Ha Jun,Aperia Mall,CapitaLand,01-28-31A,"01, 31A",Food & Beverage,Food & Beverage,Restaurant,True,False,Ha-Jun is a Korean food establishment which aims to provide affordable and delicious food to everyone.,,capitaland-api
Ya Kun Kaya Toast,Aperia Mall,CapitaLand,01-28B-33,"33, 01",Food & Beverage,Food & Beverage,Breakfast,True,False,"The name Ya Kun invariably conjures up images of freshly-made kaya toast in the minds of Singaporeans. What is unique about Ya Kun is that it offers the same humble fare of eggs, coffee and toast made with its special proprietary kaya recipe, prepared exactly the same way as when it first started in 1944. With 75 years of history, Ya Kun is a household name well-loved by all. A place where generations of Singaporeans gather to chat and indulge in their favourite coffee, it’s also where you can get scrumptious traditional kaya toast served with soft-boiled eggs. A variety of local food with a nostalgic experience brought to you by Singapore’s favourite foodies, Ya Kun Kaya Toast. It is certainly the place that captures the true meaning of ‘The Toast that binds.... Kinship, friendship, partnership’.",,capitaland-api
TALAD THAI BANANA,Aperia Mall,CapitaLand,"01-09-to-15,-17-to-19","01, 17 TO 19",Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,Talad Thai Banana is an Authentic Thai recipe crafted with love. Our main outlet is at Thai Supermarket — our unique batter is made from the freshest ingredients prepared daily with love and good intentions. All products are vegetarian friendly and in fresh batches daily.,,capitaland-api
The Clinic Group,Aperia Mall,CapitaLand,01-08,01,Services,Services,,False,False,"The Clinic Group is a network of corporate GP clinics, with 9 clinics island-wide. Visit us for the treatment of your chronic and/or acute conditions like the flu, annual health screening, vaccinations, physiotherapy and also advice for your health concerns.",,capitaland-api
Bakery Cuisine,Aperia Mall,CapitaLand,01-23,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,Bakery Cuisine,,capitaland-api
PARIS BAGUETTE Cafe,Aperia Mall,CapitaLand,01-35,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,"Paris Baguette is one of South Korea's most famous bakeries, known for its high quality baked goods and dedicated customer service.",,capitaland-api
Ottie Pancakes,Aperia Mall,CapitaLand,01-22,01,Food & Beverage,Food & Beverage,Bakery & Confectionery,True,False,Ottie Pancakes,,capitaland-api
The Ark Futsal,Aperia Mall,CapitaLand,level-3-open-plaza,L3 OPEN PLAZA,Sports & Fitness,Sports,,False,False,"The Ark Futsal is one of the leading managers of futsal pitches in Singapore. Today, it manages 11 pitches for its clients, which include government organisations and a country club. While it focuses on ensuring its clients' pitches remain in excellent condition, The Ark Futsal also organised soccer programmes, which include major leagues and tournaments to encourage utilisation of these pitches. With its years of facility management and strong event management capability, The Ark Futsal aims to offer quality environment for soccer activities or events to take place, where relationships are built and enhanced through fun and good sportsmanship.",,capitaland-api
FAT HOPE,Aperia Mall,CapitaLand,02-04,02,Beauty & Wellness,Beauty & Wellness,,False,False,Provide slimming treatment and retail of body sliming / treatment products,,capitaland-api
Subway,Aperia Mall,CapitaLand,01-64,01,Food & Beverage,Food & Beverage,Breakfast,True,False,"Subway is a fast food restaurant serving sandwiches, wraps and salads. Enjoy gourmet cold cut deli on herbs-infused bread with a generous serving of nutritious greens drizzled with decadent low fat dressings.",,capitaland-api
BEUTEA,Aperia Mall,CapitaLand,01-71,01,Food & Beverage,Food & Beverage,Food Kiosk & Light Bites,True,False,BEUTEA,,capitaland-api
Kenangan Coffee,Aperia Mall,CapitaLand,01-72,01,Food & Beverage,Food & Beverage,Cafe & Dessert Bar,True,False,"Kenangan Coffee is the fastest growing grab-and-go coffee chain from Indonesia, founded in 2017. It has over 850 stores in Indonesia, Malaysia, and is now available in Singapore. Kenangan Coffee is known for its Kenangan Blend coffee beans and signature Kenangan Latte.",,capitaland-api
Hoe Nam Signatures,Aperia Mall,CapitaLand,01-68-to-69,01,Food & Beverage,Food & Beverage,Restaurant,True,False,Hoe Nam Signatures,,capitaland-api
